pair,refit_date,n_train,alpha,beta,eg_adf_stat,eg_adf_pvalue,eg_cointegrated_5pct
ES=F/RTY=F,2025-04-30,2037,2.9385947766228657,0.5535034756747435,-2.547316323419456,0.10438195700322583,False
ES=F/RTY=F,2025-05-29,2058,2.9943144921654317,0.5465968580190047,-2.591369713124521,0.09479412348411775,False
ES=F/RTY=F,2025-06-27,2079,3.0424233120485944,0.5406427940672283,-2.671325952654568,0.07913291448923676,False
ES=F/RTY=F,2025-07-28,2100,3.0740428893942493,0.5367363502798822,-2.737671571997088,0.06774319975495251,False
ES=F/RTY=F,2025-08-26,2121,3.103569704938841,0.5330901679118809,-2.7976891059506905,0.05860462178931355,False
ES=F/RTY=F,2025-09-24,2142,3.105751843718758,0.5328206837841849,-2.820500420179619,0.05540457187235879,False
ES=F/RTY=F,2025-10-23,2163,3.099136398167766,0.5336362460841778,-2.8344034561500404,0.05352503610505186,False
ES=F/RTY=F,2025-11-21,2184,3.1026327425097304,0.5332048654417691,-2.848108247403607,0.05172363312867278,False
ES=F/RTY=F,2025-12-22,2205,3.0940050794554477,0.5342679102521158,-2.8763999026870017,0.04816200124861607,True
ES=F/RTY=F,2026-01-20,2226,3.0743301982694433,0.5366908406341528,-2.8386181986997787,0.052965654365525736,False
ES=F/RTY=F,2026-02-18,2247,3.0421342865349525,0.5406565303832613,-2.8545483160173304,0.05089445908792454,False
ES=F/RTY=F,2026-03-19,2268,3.0216345329434198,0.5431825041602787,-2.9298211108077616,0.041988486323866626,True
ES=F/RTY=F,2026-04-17,2289,3.0024178932143264,0.5455513626045906,-2.8723509736029067,0.04865896922610013,True
ES=F/RTY=F,2026-05-18,2310,2.9603179175751277,0.5507279086769151,-2.880663943092304,0.04764316419639391,True
ES=F/RTY=F,2026-06-16,2331,2.916492399033216,0.5561119315854822,-2.7554621955732133,0.06492267938355381,False
ES=F/RTY=F,2026-07-15,2352,2.8598813228245525,0.563066041197282,-2.7435907720358763,0.06679410191612058,False
ES=F/RTY=F,2026-08-13,2373,2.811118255239304,0.5690542490558134,-2.698285076582823,0.07433549611107544,False
NQ=F/RTY=F,2018-06-27,252,0.9647405481272282,0.725327082642676,-2.113298395221231,0.23920098142381185,False
NQ=F/RTY=F,2018-07-26,273,0.7616089092330213,0.7485951183078438,-2.444421322273185,0.12958918112215767,False
NQ=F/RTY=F,2018-08-24,294,0.7447800247344584,0.7505210082856999,-2.568384123539295,0.09970925182357859,False
NQ=F/RTY=F,2018-09-24,315,0.6789986733900425,0.7580416052129012,-2.760607092409459,0.06412480602650115,False
NQ=F/RTY=F,2018-10-23,336,0.9499769261816308,0.7270026112153277,-1.7387563890459408,0.4112626992103551,False
NQ=F/RTY=F,2018-11-21,357,1.0729185284681841,0.7127136357846465,-2.070675977153854,0.25646820553082184,False
NQ=F/RTY=F,2018-12-20,378,1.0542484956271365,0.7144396340066783,-0.44219625393780687,0.9028115619169321,False
NQ=F/RTY=F,2019-01-18,399,0.7170749807394795,0.7522007960213497,-1.505705495053142,0.5306870476348612,False
NQ=F/RTY=F,2019-02-18,420,0.8008148445180201,0.7424248880741348,-1.8150901393225953,0.3729960112584209,False
NQ=F/RTY=F,2019-03-19,441,0.9558198016388695,0.7246539341212799,-1.5933133964812616,0.4869515431042245,False
NQ=F/RTY=F,2019-04-17,462,1.4462749138550213,0.6686588965871904,-1.433157456108515,0.5662808847929437,False
NQ=F/RTY=F,2019-05-16,483,1.9283774116768304,0.6136858096296187,-1.4357672632029361,0.5650138720721507,False
NQ=F/RTY=F,2019-06-14,504,2.2232897044779887,0.5799403353706992,-1.415076179075573,0.5750274490838798,False
NQ=F/RTY=F,2019-07-15,525,2.6474522187655154,0.5316008637911606,-1.4747286693888888,0.545973617975305,False
NQ=F/RTY=F,2019-08-13,546,3.0494970549587572,0.4857933830862807,-1.368704692535656,0.5971841628050981,False
NQ=F/RTY=F,2019-09-11,567,3.4413054240253613,0.44110460665457035,-1.7140776964062052,0.4238742093271659,False
NQ=F/RTY=F,2019-10-10,588,3.6981289187055935,0.4118335083752112,-1.5252513507168448,0.5209849392675983,False
NQ=F/RTY=F,2019-11-08,609,3.9480424192684223,0.3833953090958462,-1.983264262170225,0.2939590010725178,False
NQ=F/RTY=F,2019-12-09,630,4.0953285028321575,0.3666617756933527,-2.109457787127219,0.24072862370014353,False
NQ=F/RTY=F,2020-01-07,651,4.116690619865205,0.3642370188621681,-2.1519742747185413,0.2241351521341794,False
NQ=F/RTY=F,2020-02-05,672,4.219423769542362,0.3525915547437607,-2.184592318466707,0.21188500472734828,False
NQ=F/RTY=F,2020-03-05,693,4.427956276796576,0.3289379734050744,-1.87648595138013,0.3432024138531663,False
NQ=F/RTY=F,2020-04-03,714,4.728525786090888,0.2940245067050119,0.4553798720533418,0.9834519132979066,False
NQ=F/RTY=F,2020-05-04,735,5.564462100626187,0.19900766150347596,-1.398068986004315,0.5832015199779339,False
NQ=F/RTY=F,2020-06-02,756,6.319228184815406,0.11350498519645986,-2.5224284618173556,0.11011216578200372,False
NQ=F/RTY=F,2020-07-01,777,6.715446210416111,0.06869630482169224,-2.641984705797773,0.0846265726222809,False
NQ=F/RTY=F,2020-07-30,798,7.019004652507155,0.03440706383555323,-2.8344804392152616,0.05351477576392575,False
NQ=F/RTY=F,2020-08-28,819,6.9858659565002785,0.03814538339610689,-2.912761884592223,0.04388396351144718,True
NQ=F/RTY=F,2020-09-28,840,7.022267393856416,0.034032605103642824,-2.96520574163499,0.03827399614826795,True
NQ=F/RTY=F,2020-10-27,861,6.9261827568976475,0.044867802909644136,-3.333271479117264,0.013455183244706678,True
NQ=F/RTY=F,2020-11-25,882,6.705556394842145,0.0697412772833887,-2.696709294464395,0.07460943791612216,False
NQ=F/RTY=F,2020-12-24,903,6.2388958913643755,0.12230222170718191,-2.65430874855848,0.08228401438179939,False
NQ=F/RTY=F,2021-01-22,924,5.719588584388977,0.18075907746776712,-2.1978141303909458,0.20703975779978911,False
NQ=F/RTY=F,2021-02-22,945,5.1755525038121535,0.2419443080834122,-1.8825140099851054,0.3403312520235558,False
NQ=F/RTY=F,2021-03-23,966,4.739777283263885,0.29100276398499836,-1.8056960486282914,0.3776374531031256,False
NQ=F/RTY=F,2021-04-21,987,4.414454500011288,0.32759063985454284,-2.0293440056606986,0.27385680013692687,False
NQ=F/RTY=F,2021-05-20,1008,4.143273549831712,0.35808130185269704,-1.8815795119783665,0.34077568563110205,False
NQ=F/RTY=F,2021-06-18,1029,3.8981851878553324,0.3856283670156452,-1.8172430119747773,0.3719352412989593,False
NQ=F/RTY=F,2021-07-19,1050,3.714944003781144,0.4061945354198991,-2.030505783971431,0.27335959042938285,False
NQ=F/RTY=F,2021-08-17,1071,3.60780636056006,0.41820977972449513,-1.9866859898634492,0.2924411669996668,False
NQ=F/RTY=F,2021-09-15,1092,3.518945434516333,0.42816807558830117,-1.9975863531710147,0.28763240097660225,False
NQ=F/RTY=F,2021-10-14,1113,3.4409191892031634,0.43692056487951175,-1.9609640182383887,0.30394680603961133,False
NQ=F/RTY=F,2021-11-12,1134,3.3423544477478564,0.4479584922519044,-1.9101865671336935,0.3272843068191726,False
