refit_date,omega,alpha,beta,persistence,loglik,aic,bic,n_obs
2021-01-01,0.04058008172312456,0.24959549722788382,0.7273875307212966,0.9769830279491805,-1833.0216950120334,3674.043390024067,3695.322849743303,1510
2021-02-01,0.040878970617020186,0.24244478337011438,0.7345428973724959,0.9769876807426103,-1865.5053140737687,3739.0106281475373,3760.3401049712534,1529
2021-03-01,0.04300029224296848,0.24987758822799827,0.7260878084791795,0.9759653967071777,-1891.0924145669464,3790.184829133893,3811.5637053504915,1548
2021-04-01,0.04296921363216108,0.24639305139495302,0.7280607869390887,0.9744538383340418,-1923.7325441053513,3855.4650882107026,3876.902958763725,1571
2021-05-01,0.042985476019432485,0.24552923555425893,0.7280873922437369,0.9736166277979958,-1945.436619218567,3898.873238437134,3920.3642239027513,1592
2021-06-01,0.04397568106999419,0.24973758757142656,0.7233364435063062,0.9730740310777328,-1970.4268282586197,3948.8536565172394,3970.394580209506,1612
2021-07-01,0.04478872267632763,0.2521218904375569,0.7195267840724217,0.9716486745099786,-1988.4980746275226,3984.996149255045,4006.591294356725,1634
2021-08-01,0.045302542136676754,0.25247252282249816,0.7182454784612642,0.9707180012837624,-2011.0437374488201,4030.0874748976403,4051.733700048885,1655
2021-09-01,0.045304553286345986,0.252884806531429,0.7170180378087762,0.9699028443402051,-2028.5558725728367,4065.1117451456735,4086.8107921929663,1677
2021-10-01,0.045152745853790845,0.25278601619656516,0.7180906264242043,0.9708766426207694,-2054.3262493566267,4116.652498713253,4138.401324180739,1698
2021-11-01,0.04518121383361602,0.2506142185427732,0.7185979502015487,0.9692121687443219,-2077.1573430994677,4162.314686198935,4184.1126782204665,1719
2021-12-01,0.04825370686188419,0.2439357910153152,0.7196453054360267,0.9635810964513418,-2103.832456113571,4215.664912227142,4237.511473795977,1740
2022-01-01,0.04851850469023501,0.2427991359304743,0.7193024821678443,0.9621016180983186,-2135.8929505791793,4279.785901158359,4301.682720384343,1762
2022-02-01,0.04686257840368147,0.23494726557453785,0.7294881807358877,0.9644354463104255,-2171.1505708529753,4350.301141705951,4372.243108138074,1782
2022-03-01,0.04615031277384082,0.23310086639868505,0.7324027850467141,0.9655036514453992,-2205.7423162362893,4419.484632472579,4441.469021853282,1801
2022-04-01,0.0455234321423362,0.23166924914720113,0.7348532953782554,0.9665225445254565,-2247.4976421281744,4502.995284256349,4525.030432938886,1824
2022-05-01,0.04499388056688107,0.2353068404437988,0.734806958404162,0.9701137988479608,-2285.494279089946,4578.988558179892,4601.067327796358,1844
