refit_date,omega,alpha,gamma,beta,nu,loglik,aic,bic,n_obs
2023-05-01,-0.004992474686621905,0.2233332351515782,-0.17995385289112217,0.9694083045230342,5.949264392789096,-2622.122016125874,5256.244032251748,5290.125020600331,2094
2023-06-01,-0.005255270909583749,0.22157177032844452,-0.18046553845707805,0.9692182044418696,6.015218970219002,-2648.6328763034094,5309.265752606819,5343.209449364688,2116
2023-07-01,-0.005507375463002899,0.22065725665152242,-0.1787972988279012,0.9692863078377872,6.101472113647392,-2671.7792743016976,5355.558548603395,5389.56149813531,2137
2023-08-01,-0.00600645623715641,0.21803593700334536,-0.1783046140810233,0.9695192375448508,6.147320111938315,-2687.448879622954,5386.897759245908,5420.956601124242,2157
2023-09-01,-0.005908623943649051,0.21579573571726818,-0.17708161023393046,0.9695347045598386,6.18072066291544,-2716.224612792994,5444.449225585988,5478.571706520686,2180
2023-10-01,-0.005833130863870448,0.21415252368610938,-0.17603143620789993,0.9695160132252489,6.203607587692036,-2739.720592726583,5491.441185453166,5525.618461289245,2200
2023-11-01,-0.006075068998903916,0.2129289977681837,-0.17523138105541616,0.9694453232278877,6.284022826838463,-2769.4420778481262,5550.8841556962525,5585.12113351745,2222
2023-12-01,-0.006821354942237123,0.21218164139104026,-0.17884961792273857,0.9694333211740032,6.240958376384512,-2789.661070833594,5591.322141667188,5625.615558874309,2243
2024-01-01,-0.006433021024553348,0.21262720506069138,-0.17327492044488454,0.969469291246358,6.225017533459198,-2810.1962175099093,5632.392435019819,5666.739114893619,2263
2024-02-01,-0.006149425344740368,0.2118715004621394,-0.17368942650483868,0.9691751517335591,6.192179468522091,-2832.8128362193374,5677.625672438675,5712.02777386333,2284
2024-03-01,-0.006393833076230057,0.21109012821858378,-0.1748060017680891,0.9691467007603419,6.1729637968286415,-2855.529043701587,5723.058087403174,5757.512499534068,2304
2024-04-01,-0.006773355951403291,0.2097670558062686,-0.17473040290801498,0.9691952523672549,6.238742726261439,-2874.6934610938943,5761.3869221877885,5795.893192895619,2324
2024-05-01,-0.006478901714255727,0.20834829134328398,-0.17478711395696594,0.9688920516436286,6.304505990187443,-2904.213201554264,5820.426403108528,5854.989205283809,2346
2024-06-01,-0.007070413260270016,0.20788833171383664,-0.17602407511405474,0.9685587410202913,6.339420120850384,-2924.4806498416037,5860.9612996832075,5895.580105659231,2368
2024-07-01,-0.007548926285187013,0.20585448340801582,-0.1762113899254881,0.9691525448655897,6.31495323936896,-2934.6686667014174,5881.337333402835,5916.004089160868,2387
2024-08-01,-0.0069420381571017025,0.2126281682861432,-0.1745544787978446,0.9673332122638741,6.319390727409433,-2965.925555036527,5943.851110073054,5978.572912088743,2409
2024-09-01,-0.007387158589898995,0.21433306176570702,-0.1767785819360405,0.9665878499298906,6.382617173569145,-2998.8041472052537,6009.608294410507,6044.384642256404,2431
2024-10-01,-0.007518433703942891,0.21252455581998472,-0.1771063052979136,0.9668450843360922,6.301809059749208,-3022.493812922156,6056.987625844312,6091.813134145481,2451
2024-11-01,-0.00716251796714307,0.2090089425992931,-0.17671791809028387,0.9670977688897798,6.277431736616513,-3047.304647498522,6106.609294997044,6141.490844314759,2474
2024-12-01,-0.007579377087784184,0.20736379324826545,-0.17698688968398352,0.9673726926843732,6.241220078768322,-3068.4881723891986,6148.976344778397,6183.9062035358365,2494
2025-01-01,-0.007082126025096992,0.20503981571840366,-0.17752447780617606,0.9674616009790509,6.11703967525895,-3093.907726906022,6199.815453812044,6234.795622307247,2515
2025-02-01,-0.007328691651639619,0.20285633468613756,-0.17656987408001615,0.9677201300828892,6.154701678655698,-3120.33847385016,6252.67694770032,6287.704641196472,2535
2025-03-01,-0.007326464199574527,0.2015025250265876,-0.17694621896895824,0.967670118038882,6.151148816242165,-3143.484654013093,6298.969308026186,6334.04180424574,2554
2025-04-01,-0.007296423817514868,0.2010070646530721,-0.17717504784897736,0.9674986523636342,6.214228416524525,-3180.8206440257936,6373.641288051587,6408.7629169301745,2575
2025-05-01,-0.006417209049674729,0.20618827917071555,-0.18283431471642078,0.9664203151990448,6.01062837265685,-3233.467455615123,6478.934911230246,6514.10527369719,2596
2025-06-01,-0.006174095489598252,0.2026385493849386,-0.1832250460910919,0.9669539376572074,5.922465058954776,-3263.4655287526457,6538.931057505291,6574.1497609204725,2617
2025-07-01,-0.00681248830383021,0.20162769331698266,-0.18306997219856577,0.9670083529837619,5.968647972065878,-3283.860511162159,6579.721022324318,6614.985405442438,2637
2025-08-01,-0.007121673201355631,0.20048918744290223,-0.18266653720589396,0.967467701877628,5.984012286128776,-3296.481840486999,6604.963680973998,6640.277913321456,2659
2025-09-01,-0.007184676029069574,0.19902844220222807,-0.1845761462398817,0.9670332679307075,5.964581322846542,-3320.17974740501,6652.35949481002,6687.720927251049,2680
2025-10-01,-0.00783480485945161,0.19821929939078578,-0.18373581539859915,0.9673979997123365,6.003616882449197,-3334.7045609600345,6681.409121920069,6716.817386042825,2701
2025-11-01,-0.007548795769275704,0.1947817324143561,-0.18327812555505527,0.9677269471107386,5.862384332062968,-3362.6193075245974,6737.238615049195,6772.697755052811,2724
2025-12-01,-0.007485422608380931,0.19311181374719638,-0.1834325121832806,0.9677599156953764,5.892217348173811,-3389.8632094847517,6791.726418969503,6827.227263915129,2743
2026-01-01,-0.007916286392099714,0.19346188733275177,-0.18392041746397195,0.9674278669245486,5.889642340048656,-3409.1303699708888,6830.2607399417775,6865.809515425516,2765
2026-02-01,-0.007965080145855044,0.19132446724441693,-0.18332335372805553,0.9678594625214422,5.80956072070758,-3427.4337984448293,6866.867596889659,6902.459615803827,2785
2026-03-01,-0.008005461135450372,0.19041271077545469,-0.18353755412383937,0.9677092191475297,5.850810719116656,-3451.597928914252,6915.195857828504,6950.828671317431,2804
2026-04-01,-0.007833958689541166,0.18896603620751595,-0.18381048756856425,0.9677223953666143,5.908314359537337,-3485.806325973029,6983.612651946058,7019.292357325525,2826
2026-05-01,-0.008046399313346806,0.1868121319946367,-0.1814674736244095,0.9684849173977986,5.934985780039804,-3511.7657328301175,7035.531465660235,7071.255592183903,2847
2026-06-01,-0.008143953433557265,0.18768122021290476,-0.1785814920982836,0.9687147896289365,5.960742403924289,-3532.215844443917,7076.431688887834,7112.197817683134,2867
2026-07-01,-0.007513119096707479,0.1880428985520921,-0.17916176541817022,0.9684014675413067,5.895922337883239,-3566.044245566001,7144.088491132002,7179.898408132078,2888
