Date,mod_a,mod_b,mod_c,garch_fc_vol,egarch_fc_vol,rv_yz
2025-02-11,0.791099132605753,0.8252072648284534,0.7995035125769294,0.7589468002133779,0.8863058225480325,0.959257938214014
2025-02-12,0.7700352658680363,0.8197525637624286,0.7461755338656787,0.7003132462984123,0.8215413154799561,0.9681484078675886
2025-02-13,0.810226572329409,0.8692052015901497,0.7242585964880516,0.6742889030920038,0.8351638754591709,0.9539964460918402
2025-02-14,0.6799178339677397,0.7386516089776861,0.6805749173806008,0.7539195526117813,0.7876123638336366,0.9026165251779944
2025-02-18,0.677077401179238,0.7525951138403526,0.6427226222090056,0.6971561746561196,0.7455716095838726,0.9062705675323504
2025-02-19,0.653692603513582,0.72381282986122,0.6100773525458622,0.6541869181477361,0.6976416386870481,0.886108022356285
2025-02-20,0.640548337326414,0.7055370207583875,0.5820721729209228,0.6153816430606173,0.6536598426560766,0.8856168035246987
2025-02-21,0.7289308630545636,0.7791924002062215,0.6083375863470729,0.6190681393290529,0.70406646828843,0.9004357987670902
2025-02-24,1.0962625990922872,1.0573748547471638,1.157284829832191,0.9751633938206,1.065545296482126,0.9131067388055242
2025-02-25,1.1168553912161412,1.0906547586396342,1.0946886296638263,0.9157763941021828,1.0775403962968566,0.93394182670721
2025-02-26,1.1440471179848075,1.123048521320019,1.0423678193111647,0.8716044068696533,1.0963107027822712,0.8095152865302793
2025-02-27,1.0798326767989954,1.0810945743059852,0.9615411139995337,0.7964888393091033,1.0120276426739352,0.8237523670768776
2025-02-28,1.3459195711573817,1.2741696101902835,1.282652933862786,1.035172293652659,1.278739807365619,0.8540904765562117
2025-03-03,1.0984010569096894,1.028907606402516,1.175664510791876,1.1275532832305066,1.1611956695202923,0.913450589556274
2025-03-04,1.4234971827181266,1.2603403770588255,1.4820201521944292,1.2923543617249391,1.4392059629216474,0.9578373321989658
2025-03-05,1.5514369143507325,1.3642376516276493,1.5168940748395734,1.2843674221062256,1.5499556057293964,0.9025126308628348
2025-03-06,1.327569100497041,1.164898373526243,1.3854053304391611,1.22941863706037,1.422770500304617,0.971324942035165
2025-03-07,1.6222914992659152,1.3762755055174782,1.6321772001970252,1.3691499357899923,1.6633960153406278,1.0076853553171168
2025-03-10,1.4519821700663096,1.2351685841519973,1.4888656389899322,1.2452239865271906,1.5168722178444491,1.0904299583846375
2025-03-11,1.9451601114827626,1.587258850144324,2.0621301213175145,1.6392554416207008,1.9520052908788736,1.1177518760894245
2025-03-12,1.9244352057430496,1.593741688878071,1.935837034254479,1.517375438573654,1.9255399367108488,1.1718798247998046
2025-03-13,1.6794809151464278,1.428443492592858,1.761879936409752,1.3714699223435909,1.7464411832763993,1.1813762983653486
2025-03-14,1.7717759220958695,1.5388253978496569,1.780698532681102,1.3748797872005822,1.8455359350582137,1.2099373801181172
2025-03-17,1.3934856387588885,1.2157567617106977,1.6223226873776706,1.4933574783539814,1.6933765550150526,1.2175931402790363
2025-03-18,1.2156273659272354,1.084260664628853,1.4800170044941328,1.3689219571370173,1.5455641837856329,1.2255476980722275
2025-03-19,1.3552217359731402,1.2182863233837233,1.4893064642311973,1.3275224960630996,1.6211085105436147,1.2463172556604265
2025-03-20,1.149412697490169,1.0502763378981321,1.3606667734540177,1.2668883439550709,1.4855685669803085,1.2723161497667972
2025-03-21,1.1443868893882125,1.0764177805787445,1.2564788783338334,1.1505826000879975,1.417601019198364,1.2846331325952656
2025-03-24,1.0852000003483708,1.0570392538322126,1.1522784263157715,1.0382673010283303,1.3005218526288618,1.3063952694139906
